LEI;LegalName;BusinessRegisterEntityID
2549003QI2YYPH8YN855;Sounion Capital Management UK Ltd;09302599
2549003SZCNXGZILEQ19;Company EYE Ltd;06473634
2549003TLEXYJIFA3O32;J. Stern&Co LLP;OC378306
2549003TVEJQMK9QJ738;W E Lawes 2009 Discretionary Settlement
2549003V3XS2RZQ4V143;NOVELTY DEPT STORE PTE LTD;199506892M
2549003VAGNPF6RRLJ38;Investa Securities Limited;594003
2549003VO95NGF435U70;Clay County Bank, Inc.;125805
2549003VSHATY0DN5P23;TB-Serendipity-H, LLC;5748697
2549003VUMRM8IZOK375;Wimmer ETF Plus Fund;AP-310871
2549003VVC980DCBPK65;1Vermogensbeheer B.V.;56644299
2549003VVWA1ODZ39D32;Advocate Capital Master Enhanced Beta Fund LP;VXEFP4.00000.LE.136
2549003W785UK85X1W35;TransMarket Bulwark LLC;5713962
2549003W9QV5FZQ1QI68;Mangan AB;556349-2759
2549003WF8JS6C8TKO27;The Phyllis C. Long Testamentary Child's Trust FBO Brant W. Long
2549003WQASEEB7X5N09;MPC Buffalo LLC;32043435521
2549003WYFPGUVPTRK86;Monona Bank;1872996
2549003XJKIQO8YDYD89;Singapore Telecommunications Limited;199201624D
2549003XLGU7VNW2CR42;Fairway Insurance Limited;28314
2549003XOG3KIZU9N666;Ardmore Associates Reinsurance Limited;E 39959
2549003Y60POEZH3LX65;CMS Tactical Credit;C155837
2549003YG0IT1JKG7958;Nationalbankens Personaleforening;15575042
2549003YZQFHM5GSEL10;Asia-Pacific Rising Master Fund Limited;MC-277768
2549003ZRSGTC55H6U32;BLUE INVESTMENT BANK INC.;LL13561
2549003ZYZM7FHPZV590;DEPARTMENT OF THE INTERIOR FEDERAL CREDIT UNION;572972
254900400E1Y4A9R2M24;Michael James Byron Tansey Trust
254900400F8HM918K561;Daintree Capital Management Pty Ltd;45 610 989 912
25490040BATO82L2I877;Vorsorgestiftung Swiss Life Personal Zusatzversicherung;CHE-110.387.899
254900414KBAAHFWNU58;Pharus Management SA;CHE-100.938.148
25490041892M6QCEG511;The Last Battalion (UK) Limited;06850683
25490041B1FHY755KP04;GRIDDLECAKE LLC;S6066718
25490041O5W104HFWA62;MKM Partners LLC;0697632
25490042J9Z1GSASE078;Accountability AB;556787-7260
25490042L5MVWVPMPO66;SUNLIGHT INTERNATIONAL INVESTMENTS CORPORATION;665014
